clave_inegi,entidad,anio,mortalidad
01,Aguascalientes,2001,6.035320803629293
01,Aguascalientes,2002,7.29099157485418
01,Aguascalientes,2003,7.240359688917692
01,Aguascalientes,2004,7.41250810110175
01,Aguascalientes,2005,7.392255346727155
01,Aguascalientes,2006,8.09097537265068
01,Aguascalientes,2007,8.72893713545042
01,Aguascalientes,2008,8.93146467919637
01,Aguascalientes,2009,9.073233959818536
01,Aguascalientes,2010,9.245382372002592
01,Aguascalientes,2011,7.908700583279326
01,Aguascalientes,2012,9.741574854180168
01,Aguascalientes,2013,10.622569669475048
01,Aguascalientes,2014,10.663075178224238
01,Aguascalientes,2015,10.744086195722618
01,Aguascalientes,2016,10.440294880103695
01,Aguascalientes,2017,10.480800388852884
01,Aguascalientes,2018,9.518794556059625
02,Baja California,2001,12.566834089436163
02,Baja California,2002,13.670609202851589
02,Baja California,2003,14.774384316267012
02,Baja California,2004,16.516121192482178
02,Baja California,2005,17.660401814646793
02,Baja California,2006,17.498379779650033
02,Baja California,2007,19.10847375243033
02,Baja California,2008,18.622407647440053
02,Baja California,2009,20.465408295528192
02,Baja California,2010,21.15400194426442
02,Baja California,2011,20.931221646143875
02,Baja California,2012,21.79196370706416
02,Baja California,2013,23.169151004536616
02,Baja California,2014,23.867871030460144
02,Baja California,2015,25.538723266364226
02,Baja California,2016,27.49311406351264
02,Baja California,2017,30.60191186001296
02,Baja California,2018,28.64752106286455
03,Baja California Sur,2001,2.288561244329229
03,Baja California Sur,2002,1.9746435515230072
03,Baja California Sur,2003,2.288561244329229
03,Baja California Sur,2004,2.663237200259235
03,Baja California Sur,2005,2.167044718081659
03,Baja California Sur,2006,3.1594296824368113
03,Baja California Sur,2007,3.088545042125729
03,Baja California Sur,2008,3.4429682436811406
03,Baja California Sur,2009,3.4834737524303305
03,Baja California Sur,2010,3.3822099805573558
03,Baja California Sur,2011,3.9290343486714194
03,Baja California Sur,2012,4.111309138042774
03,Baja California Sur,2013,3.979666234607907
03,Baja California Sur,2014,3.7163804277381725
03,Baja California Sur,2015,4.516364225534673
03,Baja California Sur,2016,4.536616979909268
03,Baja California Sur,2017,4.60750162022035
03,Baja California Sur,2018,4.951798444588464
04,Campeche,2001,2.3189403758911213
04,Campeche,2002,3.3923363577446533
04,Campeche,2003,3.4024627349319507
04,Campeche,2004,3.453094620868438
04,Campeche,2005,3.76701231367466
04,Campeche,2006,3.898655217109527
04,Campeche,2007,4.759397278029812
04,Campeche,2008,5.32647440051847
04,Campeche,2009,5.113820479585224
04,Campeche,2010,5.903677900194427
04,Campeche,2011,5.721403110823072
04,Campeche,2012,6.025194426441996
04,Campeche,2013,6.49100777705768
04,Campeche,2014,6.896062864549579
04,Campeche,2015,7.756804925469864
04,Campeche,2016,8.880832793259883
04,Campeche,2017,8.516283214517175
04,Campeche,2018,8.708684381075827
05,Coahuila,2001,18.18697342838626
05,Coahuila,2002,19.6350453661698
05,Coahuila,2003,22.510936487362283
05,Coahuila,2004,23.11851911860013
05,Coahuila,2005,25.052657161373947
05,Coahuila,2006,24.941267012313673
05,Coahuila,2007,25.315942968243682
05,Coahuila,2008,27.462734931950745
05,Coahuila,2009,28.414614387556707
05,Coahuila,2010,26.662751134154245
05,Coahuila,2011,27.99943292287751
05,Coahuila,2012,27.19944912508101
05,Coahuila,2013,29.194345430978615
05,Coahuila,2014,32.120868438107586
05,Coahuila,2015,33.91323720025923
05,Coahuila,2016,34.54107258587168
05,Coahuila,2017,35.543583927414126
05,Coahuila,2018,34.66258911211925
06,Colima,2001,3.6556221646143876
06,Colima,2002,3.6353694102397927
06,Colima,2003,3.5037265068049255
06,Colima,2004,3.979666234607907
06,Colima,2005,4.516364225534673
06,Colima,2006,4.68851263771873
06,Colima,2007,4.475858716785483
06,Colima,2008,5.265716137394685
06,Colima,2009,5.5593810758263125
06,Colima,2010,5.1036941023979265
06,Colima,2011,6.207469215813351
06,Colima,2012,6.7644199611147116
06,Colima,2013,6.723914452365522
06,Colima,2014,7.1897278029812055
06,Colima,2015,8.080848995463382
06,Colima,2016,6.7644199611147116
06,Colima,2017,7.159348671419313
06,Colima,2018,6.328985742060921
07,Chiapas,2001,12.961762799740765
07,Chiapas,2002,15.625
07,Chiapas,2003,15.959170447180817
07,Chiapas,2004,16.526247569669476
07,Chiapas,2005,19.10847375243033
07,Chiapas,2006,20.597051198963058
07,Chiapas,2007,21.30589760207388
07,Chiapas,2008,24.019766688269605
07,Chiapas,2009,25.81213545042126
07,Chiapas,2010,27.99943292287751
07,Chiapas,2011,26.93616331821128
07,Chiapas,2012,29.771548930654568
07,Chiapas,2013,31.48290667530784
07,Chiapas,2014,35.78661697990927
07,Chiapas,2015,41.52827284510693
07,Chiapas,2016,41.21435515230071
07,Chiapas,2017,44.66744977316915
07,Chiapas,2018,46.55095593000648
08,Chihuahua,2001,18.66291315618924
08,Chihuahua,2002,19.46289695398574
08,Chihuahua,2003,21.43754050550875
08,Chihuahua,2004,21.67044718081659
08,Chihuahua,2005,25.396953985742062
08,Chihuahua,2006,24.971646143875567
08,Chihuahua,2007,26.986795204147764
08,Chihuahua,2008,28.090570317563188
08,Chihuahua,2009,29.09308165910564
08,Chihuahua,2010,29.97407647440052
08,Chihuahua,2011,28.515878159429683
08,Chihuahua,2012,28.019685677252106
08,Chihuahua,2013,29.609526895657808
08,Chihuahua,2014,31.260126377187298
08,Chihuahua,2015,31.56391769280622
08,Chihuahua,2016,32.20187945560596
08,Chihuahua,2017,33.356286454957875
08,Chihuahua,2018,29.51838950097213
09,Ciudad de México,2001,92.68673039533377
09,Ciudad de México,2002,97.25372650680492
09,Ciudad de México,2003,105.48647116007777
09,Ciudad de México,2004,110.14460466623461
09,Ciudad de México,2005,114.6204633830201
09,Ciudad de México,2006,114.96476020738821
09,Ciudad de México,2007,115.84575502268308
09,Ciudad de México,2008,119.65327284510694
09,Ciudad de México,2009,124.65570317563188
09,Ciudad de México,2010,124.80759883344135
09,Ciudad de México,2011,121.53677900194427
09,Ciudad de México,2012,125.08101101749838
09,Ciudad de México,2013,125.61770900842515
09,Ciudad de México,2014,134.72132209980558
09,Ciudad de México,2015,131.33911211924823
09,Ciudad de México,2016,139.4604666234608
09,Ciudad de México,2017,138.549092676604
09,Ciudad de México,2018,129.22269928710304
10,Durango,2001,8.040343486714193
10,Durango,2002,9.083360337005832
10,Durango,2003,10.166882696046663
10,Durango,2004,10.713707064160726
10,Durango,2005,12.576960466623461
10,Durango,2006,12.880751782242385
10,Durango,2007,13.123784834737524
10,Durango,2008,13.832631237848348
10,Durango,2009,13.994653272845106
10,Durango,2010,12.536454957874271
10,Durango,2011,12.506075826312378
10,Durango,2012,12.647845106934543
10,Durango,2013,13.852883992222942
10,Durango,2014,13.073152948801036
10,Durango,2015,13.42757615035645
10,Durango,2016,14.379455605962411
10,Durango,2017,14.916153596889178
10,Durango,2018,14.288318211276733
11,Guanajuato,2001,31.634802333117303
